CO2,seconds
403,528.66
408,529.65
403,530.64
411,531.63
408,532.62
408,533.61
408,534.6
408,535.59
411,536.58
411,537.57
403,538.56
403,539.55
403,540.54
408,541.53
400,542.52
400,543.51
400,544.5
403,545.49
411,546.48
403,547.47
403,548.46
408,549.45
403,550.44
408,551.43
400,552.42
400,553.41
403,554.4
403,555.39
403,556.38
400,557.37
400,558.36
403,559.35
400,560.34
400,561.33
403,562.32
400,563.31
400,564.3
400,565.29
402,566.28
402,567.27
402,568.26
402,569.25
400,570.24
400,571.23
402,572.22
400,573.21
402,574.2
402,575.19
400,576.18
400,577.17
400,578.16
400,579.15
400,580.14
405,581.13
405,582.12
405,583.11
405,584.1
405,585.09
405,586.08
400,587.07
402,588.06
402,589.05
402,590.04
407,591.03
407,592.02
407,593.01
402,594
402,594.99
407,595.98
407,596.97
407,597.96
402,598.95
400,599.94
400,600.93
400,601.92
400,602.91
400,603.9
400,604.89
400,605.88
406,606.87
403,607.86
400,608.85
400,609.84
403,610.83
403,611.82
403,612.81
407,613.8
403,614.79
403,615.78
407,616.77
407,617.76
403,618.75
407,619.74
407,620.73
403,621.72
403,622.71
403,623.7
400,624.69
400,625.68
403,626.67
403,627.66
400,628.65
403,629.64
400,630.63
400,631.62
403,632.61
407,633.6
403,634.59
400,635.58
400,636.57
407,637.56
407,638.55
400,639.54
403,640.53
407,641.52
409,642.51
403,643.5
409,644.49
409,645.48
409,646.47
409,647.46
409,648.45
409,649.44
407,650.43
407,651.42
403,652.41
407,653.4
403,654.39
407,655.38
403,656.37
403,657.36
400,658.35
400,659.34
400,660.33
403,661.32
400,662.31
403,663.3
400,664.29
403,665.28
400,666.27
400,667.26
400,668.25
400,669.24
400,670.23
400,671.22
400,672.21
400,673.2
400,674.19
400,675.18
406,676.17
400,677.16
403,678.15
400,679.14
400,680.13
403,681.12
403,682.11
403,683.1
403,684.09
403,685.08
403,686.07
403,687.06
400,688.05
403,689.04
406,690.03
403,691.02
403,692.01
406,693
403,693.99
403,694.98
403,695.97
400,696.96
403,697.95
400,698.94
403,699.93
400,700.92
400,701.91
400,702.9
403,703.89
403,704.88
403,705.87
403,706.86
400,707.85
403,708.84
400,709.83
408,710.82
400,711.81
400,712.8
408,713.79
400,714.78
405,715.77
408,716.76
405,717.75
400,718.74
405,719.73
405,720.72
400,721.71
405,722.7
405,723.69
400,724.68
400,725.67
400,726.66
400,727.65
400,728.64
400,729.63
400,730.62
400,731.61
400,732.6
400,733.59
400,734.58
400,735.57
403,736.56
400,737.55
400,738.54
403,739.53
400,740.52
403,741.51
403,742.5
406,743.49
406,744.48
409,745.47
414,746.46
406,747.45
406,748.44
409,749.43
414,750.42
417,751.41
414,752.4
420,753.39
414,754.38
417,755.37
414,756.36
417,757.35
417,758.34
417,759.33
417,760.32
420,761.31
420,762.3
420,763.29
420,764.28
420,765.27
420,766.26
423,767.25
423,768.24
426,769.23
423,770.22
420,771.21
426,772.2
420,773.19
426,774.18
423,775.17
423,776.16
423,777.15
423,778.14
423,779.13
420,780.12
420,781.11
420,782.1
423,783.09
423,784.08
420,785.07
423,786.06
426,787.05
428,788.04
423,789.03
423,790.02
420,791.01
423,792
423,792.99
423,793.98
420,794.97
420,795.96
420,796.95
420,797.94
420,798.93
420,799.92
420,800.91
420,801.9
423,802.89
417,803.88
420,804.87
417,805.86
417,806.85
417,807.84
420,808.83
417,809.82
423,810.81
426,811.8
423,812.79
426,813.78
426,814.77
423,815.76
423,816.75
423,817.74
420,818.73
426,819.72
426,820.71
426,821.7
426,822.69
426,823.68
423,824.67
423,825.66
417,826.65
414,827.64
409,828.63
409,829.62
406,830.61
406,831.6
406,832.59
406,833.58
409,834.57
409,835.56
409,836.55
406,837.54
406,838.53
400,839.52
400,840.51
400,841.5
400,842.49
400,843.48
403,844.47
400,845.46
403,846.45
403,847.44
400,848.43
403,849.42
403,850.41
403,851.4
407,852.39
407,853.38
409,854.37
407,855.36
407,856.35
407,857.34
407,858.33
407,859.32
403,860.31
403,861.3
403,862.29
403,863.28
407,864.27
407,865.26
403,866.25
403,867.24
403,868.23
403,869.22
403,870.21
400,871.2
407,872.19
407,873.18
403,874.17
407,875.16
407,876.15
403,877.14
403,878.13
403,879.12
403,880.11
407,881.1
409,882.09
407,883.08
407,884.07
407,885.06
403,886.05
403,887.04
403,888.03
407,889.02
409,890.01
403,891
409,891.99
407,892.98
409,893.97
407,894.96
409,895.95
407,896.94
413,897.93
409,898.92
407,899.91
407,900.9
407,901.89
407,902.88
403,903.87
407,904.86
400,905.85
407,906.84
403,907.83
400,908.82
403,909.81
403,910.8
400,911.79
407,912.78
403,913.77
400,914.76
403,915.75
400,916.74
400,917.73
400,918.72
403,919.71
400,920.7
403,921.69
403,922.68
403,923.67
403,924.66
400,925.65
400,926.64
400,927.63
400,928.62
408,929.61
408,930.6
405,931.59
408,932.58
408,933.57
408,934.56
400,935.55
405,936.54
405,937.53
400,938.52
408,939.51
400,940.5
405,941.49
400,942.48
408,943.47
400,944.46
405,945.45
405,946.44
405,947.43
405,948.42
405,949.41
400,950.4
405,951.39
400,952.38
400,953.37
405,954.36
400,955.35
405,956.34
405,957.33
405,958.32
405,959.31
400,960.3
402,961.29
402,962.28
400,963.27
403,964.26
400,965.25
403,966.24
403,967.23
403,968.22
400,969.21
403,970.2
403,971.19
400,972.18
400,973.17
400,974.16
400,975.15
400,976.14
400,977.13
403,978.12
400,979.11
400,980.1
402,981.09
402,982.08
400,983.07
402,984.06
402,985.05
400,986.04
402,987.03
400,988.02
400,989.01
400,990
400,990.99
400,991.98
406,992.97
402,993.96
402,994.95
400,995.94
406,996.93
406,997.92
402,998.91
402,999.9
402,1000.89
402,1001.88
400,1002.87
402,1003.86
402,1004.85
400,1005.84
400,1006.83
400,1007.82
400,1008.81
402,1009.8
400,1010.79
400,1011.78
402,1012.77
402,1013.76
400,1014.75
400,1015.74
402,1016.73
400,1017.72
400,1018.71
400,1019.7
402,1020.69
405,1021.68
402,1022.67
405,1023.66
402,1024.65
402,1025.64
400,1026.63
402,1027.62
400,1028.61
405,1029.6
400,1030.59
402,1031.58
400,1032.57
407,1033.56
405,1034.55
407,1035.54
407,1036.53
405,1037.52
400,1038.51
400,1039.5
400,1040.49
400,1041.48
402,1042.47
400,1043.46
400,1044.45
403,1045.44
403,1046.43
403,1047.42
406,1048.41
403,1049.4
403,1050.39
406,1051.38
400,1052.37
403,1053.36
403,1054.35
403,1055.34
406,1056.33
403,1057.32
406,1058.31
406,1059.3
403,1060.29
400,1061.28
400,1062.27
400,1063.26
403,1064.25
400,1065.24
400,1066.23
403,1067.22
403,1068.21
400,1069.2
406,1070.19
403,1071.18
406,1072.17
410,1073.16
410,1074.15
406,1075.14
406,1076.13
406,1077.12
406,1078.11
406,1079.1
406,1080.09
406,1081.08
406,1082.07
403,1083.06
410,1084.05
406,1085.04
403,1086.03
403,1087.02
406,1088.01
406,1089
406,1089.99
410,1090.98
406,1091.97
410,1092.96
410,1093.95
410,1094.94
410,1095.93
410,1096.92
410,1097.91
410,1098.9
413,1099.89
415,1100.88
